distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	16	2567	68	27255	2.5
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	18	3027	68	27255	2.38
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	3370	68	27255	2.5
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	3650	68	27255	2.31
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	22	3891	68	27255	2.27
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	4127	68	27255	2.23
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	4336	68	27255	2.13
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	4540	68	27255	2.03
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	4753	68	27255	1.94
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	4930	68	27255	1.87
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5118	68	27255	1.96
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5294	68	27255	1.89
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5466	68	27255	1.83
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5646	68	27255	1.77
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5802	68	27255	1.73
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	5960	68	27255	1.68
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6117	68	27255	1.64
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6291	68	27255	1.59
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6476	68	27255	1.55
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6626	68	27255	1.51
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	26	6767	68	27255	1.54
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	6912	68	27255	1.57
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	7051	68	27255	1.53
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	7153	68	27255	1.51
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	7292	68	27255	1.48
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	7452	68	27255	1.45
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	28	7593	68	27255	1.48
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	28	7724	68	27255	1.45
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	28	7862	68	27255	1.43
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	28	7992	68	27255	1.4
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	28	8111	68	27255	1.38
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8230	68	27255	1.41
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	30	8351	68	27255	1.44
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	30	8460	68	27255	1.42
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	8591	68	27255	1.45
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	8706	68	27255	1.43
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	8804	68	27255	1.41
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	8912	68	27255	1.39
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9047	68	27255	1.37
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9164	68	27255	1.36
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9273	68	27255	1.34
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9366	68	27255	1.33
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9472	68	27255	1.31
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9586	68	27255	1.3
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	31	9718	68	27255	1.28
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	32	9806	68	27255	1.31
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	34	9927	68	27255	1.37
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	34	10012	68	27255	1.36
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	34	10138	68	27255	1.34
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	34	10234	68	27255	1.33
