distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	9	706	68	27255	5.11
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	12	1139	68	27255	4.22
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	12	1479	68	27255	3.25
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	14	1829	68	27255	3.07
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	15	2125	68	27255	2.83
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	17	2385	68	27255	2.86
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	17	2663	68	27255	2.56
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	17	2918	68	27255	2.34
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	18	3159	68	27255	2.28
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	18	3384	68	27255	2.13
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	18	3603	68	27255	2
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	18	3802	68	27255	1.9
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	19	3987	68	27255	1.91
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	4184	68	27255	2.01
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	4363	68	27255	1.93
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	4545	68	27255	1.85
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	21	4709	68	27255	1.79
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	22	4860	68	27255	1.81
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	22	5043	68	27255	1.75
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	22	5224	68	27255	1.69
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	22	5373	68	27255	1.64
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	5525	68	27255	1.67
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	5676	68	27255	1.62
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	5800	68	27255	1.59
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	5931	68	27255	1.55
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	23	6062	68	27255	1.52
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6205	68	27255	1.61
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6328	68	27255	1.58
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6436	68	27255	1.56
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6577	68	27255	1.52
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6725	68	27255	1.49
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6836	68	27255	1.47
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	6962	68	27255	1.44
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	7082	68	27255	1.41
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	7207	68	27255	1.39
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	7332	68	27255	1.37
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	7449	68	27255	1.35
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	25	7560	68	27255	1.33
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	26	7680	68	27255	1.36
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	26	7787	68	27255	1.34
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	26	7873	68	27255	1.32
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	7980	68	27255	1.36
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	8084	68	27255	1.34
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	8185	68	27255	1.32
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	27	8295	68	27255	1.3
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8408	68	27255	1.38
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8518	68	27255	1.36
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8610	68	27255	1.35
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8716	68	27255	1.33
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	rbc_all_pc	RED_COUNT	29	8806	68	27255	1.32
