distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	9	657	68	27255	5.49
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	12	1043	68	27255	4.61
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	12	1341	68	27255	3.59
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	14	1644	68	27255	3.41
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	15	1921	68	27255	3.13
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	17	2160	68	27255	3.15
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	17	2428	68	27255	2.81
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	17	2671	68	27255	2.55
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	18	2887	68	27255	2.5
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	18	3092	68	27255	2.33
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	18	3299	68	27255	2.19
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	18	3496	68	27255	2.06
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	19	3660	68	27255	2.08
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	21	3847	68	27255	2.19
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	21	4025	68	27255	2.09
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	21	4205	68	27255	2
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	21	4368	68	27255	1.93
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	22	4514	68	27255	1.95
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	22	4675	68	27255	1.89
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	22	4857	68	27255	1.82
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	22	4994	68	27255	1.77
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	23	5146	68	27255	1.79
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	23	5301	68	27255	1.74
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	23	5428	68	27255	1.7
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	23	5557	68	27255	1.66
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	23	5679	68	27255	1.62
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	24	5821	68	27255	1.65
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	24	5935	68	27255	1.62
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6039	68	27255	1.66
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6163	68	27255	1.63
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6295	68	27255	1.59
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6409	68	27255	1.56
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6527	68	27255	1.54
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6647	68	27255	1.51
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6760	68	27255	1.48
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	rbc_all_pc	RED_COUNT	25	6889	68	27255	1.45
