distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	52	1472	709	27255	1.36
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	66	1767	709	27255	1.44
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	71	2005	709	27255	1.36
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	81	2213	709	27255	1.41
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	85	2383	709	27255	1.37
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	95	2546	709	27255	1.43
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	97	2701	709	27255	1.38
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	102	2848	709	27255	1.38
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	103	3003	709	27255	1.32
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	113	3150	709	27255	1.38
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	116	3285	709	27255	1.36
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	120	3413	709	27255	1.35
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	126	3552	709	27255	1.36
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	128	3683	709	27255	1.34
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	131	3822	709	27255	1.32
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	135	3943	709	27255	1.32
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	136	4068	709	27255	1.29
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	139	4198	709	27255	1.27
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	144	4316	709	27255	1.28
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	146	4442	709	27255	1.26
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	148	4560	709	27255	1.25
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	152	4674	709	27255	1.25
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	155	4806	709	27255	1.24
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	156	4923	709	27255	1.22
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	160	5047	709	27255	1.22
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	162	5150	709	27255	1.21
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	164	5263	709	27255	1.2
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	164	5376	709	27255	1.17
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	167	5492	709	27255	1.17
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	169	5607	709	27255	1.16
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	171	5734	709	27255	1.15
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	172	5849	709	27255	1.13
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	175	5957	709	27255	1.13
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	178	6057	709	27255	1.13
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	179	6160	709	27255	1.12
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	179	6259	709	27255	1.1
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	182	6352	709	27255	1.1
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	186	6448	709	27255	1.11
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	190	6557	709	27255	1.11
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	190	6642	709	27255	1.1
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	192	6723	709	27255	1.1
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	197	6817	709	27255	1.11
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	198	6910	709	27255	1.1
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	199	7015	709	27255	1.09
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	203	7105	709	27255	1.1
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	205	7202	709	27255	1.09
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	205	7298	709	27255	1.08
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	210	7387	709	27255	1.09
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	213	7488	709	27255	1.09
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	SYSTOLIC	217	7594	709	27255	1.1
