distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	21	419	709	27255	1.93
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	29	665	709	27255	1.68
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	34	865	709	27255	1.51
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	40	1074	709	27255	1.43
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	44	1243	709	27255	1.36
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	56	1422	709	27255	1.51
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	61	1569	709	27255	1.49
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	69	1754	709	27255	1.51
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	74	1911	709	27255	1.49
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	78	2054	709	27255	1.46
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	83	2190	709	27255	1.46
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	90	2335	709	27255	1.48
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	97	2471	709	27255	1.51
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	99	2608	709	27255	1.46
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	102	2728	709	27255	1.44
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	108	2852	709	27255	1.46
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	109	2967	709	27255	1.41
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	112	3086	709	27255	1.4
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	115	3190	709	27255	1.39
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	118	3297	709	27255	1.38
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	119	3412	709	27255	1.34
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	126	3525	709	27255	1.37
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	129	3629	709	27255	1.37
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	132	3751	709	27255	1.35
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	136	3863	709	27255	1.35
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	139	3980	709	27255	1.34
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	139	4087	709	27255	1.31
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	142	4199	709	27255	1.3
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	143	4310	709	27255	1.28
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	144	4411	709	27255	1.25
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	145	4514	709	27255	1.23
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	147	4617	709	27255	1.22
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	149	4711	709	27255	1.22
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	151	4811	709	27255	1.21
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	153	4893	709	27255	1.2
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	153	4988	709	27255	1.18
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	156	5069	709	27255	1.18
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	157	5149	709	27255	1.17
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	160	5225	709	27255	1.18
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	163	5298	709	27255	1.18
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	166	5401	709	27255	1.18
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	167	5484	709	27255	1.17
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	170	5568	709	27255	1.17
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	171	5668	709	27255	1.16
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	174	5746	709	27255	1.16
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	176	5834	709	27255	1.16
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	178	5918	709	27255	1.16
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	180	5996	709	27255	1.15
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	182	6083	709	27255	1.15
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	SYSTOLIC	183	6158	709	27255	1.14
