distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	20	376	709	27255	2.04
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	27	577	709	27255	1.8
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	32	760	709	27255	1.62
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	38	954	709	27255	1.53
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	41	1111	709	27255	1.42
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	50	1268	709	27255	1.52
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	56	1425	709	27255	1.51
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	62	1599	709	27255	1.49
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	67	1748	709	27255	1.47
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	70	1876	709	27255	1.43
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	76	2011	709	27255	1.45
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	81	2147	709	27255	1.45
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	88	2294	709	27255	1.47
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	90	2424	709	27255	1.43
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	92	2536	709	27255	1.39
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	98	2653	709	27255	1.42
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	99	2771	709	27255	1.37
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	104	2885	709	27255	1.39
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	SYSTOLIC	105	2983	709	27255	1.35
