distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	8	104	709	27255	2.96
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	11	144	709	27255	2.94
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	12	181	709	27255	2.55
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	12	244	709	27255	1.89
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	13	294	709	27255	1.7
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	15	348	709	27255	1.66
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	17	397	709	27255	1.65
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	21	454	709	27255	1.78
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	23	501	709	27255	1.76
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	25	545	709	27255	1.76
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	27	598	709	27255	1.74
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	30	657	709	27255	1.76
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	32	722	709	27255	1.7
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	32	779	709	27255	1.58
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	33	830	709	27255	1.53
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	39	869	709	27255	1.73
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	42	912	709	27255	1.77
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	43	970	709	27255	1.7
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	45	1022	709	27255	1.69
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	46	1070	709	27255	1.65
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	47	1121	709	27255	1.61
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	49	1170	709	27255	1.61
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	51	1209	709	27255	1.62
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	SYSTOLIC	52	1252	709	27255	1.6
