distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	4	419	29	27255	8.97
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	6	665	29	27255	8.48
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	865	29	27255	7.61
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1074	29	27255	6.13
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1243	29	27255	5.29
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1422	29	27255	4.63
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1569	29	27255	4.19
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1754	29	27255	3.75
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	1911	29	27255	3.44
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	2054	29	27255	3.2
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	2190	29	27255	3
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	7	2335	29	27255	2.82
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	8	2471	29	27255	3.04
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	9	2608	29	27255	3.24
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	9	2728	29	27255	3.1
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	9	2852	29	27255	2.97
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	9	2967	29	27255	2.85
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3086	29	27255	3.05
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3190	29	27255	2.95
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3297	29	27255	2.85
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3412	29	27255	2.75
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3525	29	27255	2.67
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3629	29	27255	2.59
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3751	29	27255	2.51
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3863	29	27255	2.43
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	3980	29	27255	2.36
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4087	29	27255	2.3
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4199	29	27255	2.24
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4310	29	27255	2.18
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4411	29	27255	2.13
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4514	29	27255	2.08
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4617	29	27255	2.04
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4711	29	27255	1.99
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4811	29	27255	1.95
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4893	29	27255	1.92
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	4988	29	27255	1.88
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	5069	29	27255	1.85
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	5149	29	27255	1.83
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	10	5225	29	27255	1.8
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5298	29	27255	1.95
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5401	29	27255	1.91
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5484	29	27255	1.89
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5568	29	27255	1.86
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5668	29	27255	1.82
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5746	29	27255	1.8
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5834	29	27255	1.77
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5918	29	27255	1.75
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	5996	29	27255	1.72
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	6083	29	27255	1.7
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	sbp-disease-drug	SYSTOLIC	11	6158	29	27255	1.68
