distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	4	376	29	27255	10
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	6	577	29	27255	9.77
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	760	29	27255	8.66
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	954	29	27255	6.9
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1111	29	27255	5.92
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1268	29	27255	5.19
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1425	29	27255	4.62
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1599	29	27255	4.11
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1748	29	27255	3.76
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	1876	29	27255	3.51
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	2011	29	27255	3.27
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	7	2147	29	27255	3.06
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	8	2294	29	27255	3.28
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	9	2424	29	27255	3.49
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	9	2536	29	27255	3.34
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	9	2653	29	27255	3.19
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	9	2771	29	27255	3.05
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	2885	29	27255	3.26
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	2983	29	27255	3.15
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3078	29	27255	3.05
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3193	29	27255	2.94
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3299	29	27255	2.85
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3410	29	27255	2.76
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3520	29	27255	2.67
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3618	29	27255	2.6
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3740	29	27255	2.51
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3836	29	27255	2.45
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	3945	29	27255	2.38
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4053	29	27255	2.32
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4152	29	27255	2.26
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4251	29	27255	2.21
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4347	29	27255	2.16
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4438	29	27255	2.12
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4538	29	27255	2.07
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4620	29	27255	2.03
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4713	29	27255	1.99
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4792	29	27255	1.96
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4870	29	27255	1.93
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	4950	29	27255	1.9
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	10	5018	29	27255	1.87
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5116	29	27255	2.02
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5199	29	27255	1.99
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5277	29	27255	1.96
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5369	29	27255	1.93
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5449	29	27255	1.9
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5534	29	27255	1.87
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5619	29	27255	1.84
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5696	29	27255	1.81
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5777	29	27255	1.79
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	sbp-disease-drug	SYSTOLIC	11	5842	29	27255	1.77
