distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	6	1472	29	27255	3.83
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	7	1767	29	27255	3.72
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2005	29	27255	3.75
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2213	29	27255	3.4
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2383	29	27255	3.16
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2546	29	27255	2.95
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2701	29	27255	2.78
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	2848	29	27255	2.64
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	3003	29	27255	2.5
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	8	3150	29	27255	2.39
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3285	29	27255	2.57
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3413	29	27255	2.48
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3552	29	27255	2.38
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3683	29	27255	2.3
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3822	29	27255	2.21
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	3943	29	27255	2.15
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	4068	29	27255	2.08
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	sbp_all_pc	SYSTOLIC	9	4198	29	27255	2.01
