distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	1	104	29	27255	9.04
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	1	144	29	27255	6.53
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	1	181	29	27255	5.19
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	244	29	27255	7.7
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	294	29	27255	6.39
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	348	29	27255	5.4
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	397	29	27255	4.73
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	454	29	27255	4.14
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	501	29	27255	3.75
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	545	29	27255	3.45
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	598	29	27255	3.14
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	2	657	29	27255	2.86
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	3	722	29	27255	3.91
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	3	779	29	27255	3.62
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	3	830	29	27255	3.4
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	3	869	29	27255	3.24
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	3	912	29	27255	3.09
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	970	29	27255	3.88
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1022	29	27255	3.68
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1070	29	27255	3.51
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1121	29	27255	3.35
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1170	29	27255	3.21
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1209	29	27255	3.11
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1252	29	27255	3
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1299	29	27255	2.89
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1350	29	27255	2.78
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1391	29	27255	2.7
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	sbp_all_pc	SYSTOLIC	4	1433	29	27255	2.62
