distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	319	277	27255	3.39
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	398	277	27255	2.97
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	458	277	27255	3.01
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	508	277	27255	2.91
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	552	277	27255	2.67
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	619	277	27255	2.54
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	662	277	27255	2.38
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	708	277	27255	2.22
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	741	277	27255	2.12
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	792	277	27255	2.36
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	828	277	27255	2.26
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	869	277	27255	2.15
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	920	277	27255	2.14
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	965	277	27255	2.04
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1007	277	27255	1.95
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1054	277	27255	1.87
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1093	277	27255	1.8
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1145	277	27255	1.72
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1182	277	27255	1.66
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1226	277	27255	1.61
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1271	277	27255	1.55
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1311	277	27255	1.5
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1362	277	27255	1.44
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1403	277	27255	1.4
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1434	277	27255	1.44
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1475	277	27255	1.4
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1513	277	27255	1.37
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1568	277	27255	1.32
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	22	1605	277	27255	1.35
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	23	1644	277	27255	1.38
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	23	1678	277	27255	1.35
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	23	1724	277	27255	1.31
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	23	1767	277	27255	1.28
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	23	1810	277	27255	1.25
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	24	1846	277	27255	1.28
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1884	277	27255	1.31
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1928	277	27255	1.28
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1969	277	27255	1.25
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	26	2010	277	27255	1.27
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	26	2040	277	27255	1.25
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	26	2083	277	27255	1.23
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	27	2130	277	27255	1.25
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2172	277	27255	1.27
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2206	277	27255	1.25
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2230	277	27255	1.24
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2265	277	27255	1.22
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2297	277	27255	1.2
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2332	277	27255	1.18
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	2365	277	27255	1.16
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	29	2411	277	27255	1.18
