distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	6	127	277	27255	4.65
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	8	203	277	27255	3.88
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	253	277	27255	3.5
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	305	277	27255	3.55
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	355	277	27255	3.33
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	421	277	27255	3.04
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	466	277	27255	3.17
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	507	277	27255	2.91
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	553	277	27255	2.67
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	598	277	27255	2.63
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	643	277	27255	2.75
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	683	277	27255	2.59
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	725	277	27255	2.44
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	759	277	27255	2.33
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	794	277	27255	2.35
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	836	277	27255	2.24
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	868	277	27255	2.15
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	910	277	27255	2.05
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	942	277	27255	1.98
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	975	277	27255	1.92
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1005	277	27255	1.86
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1040	277	27255	1.8
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1073	277	27255	1.74
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1120	277	27255	1.67
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1155	277	27255	1.62
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1197	277	27255	1.56
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1232	277	27255	1.52
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1273	277	27255	1.47
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1313	277	27255	1.42
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1355	277	27255	1.45
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1382	277	27255	1.42
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	20	1416	277	27255	1.39
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1452	277	27255	1.42
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	21	1497	277	27255	1.38
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	22	1529	277	27255	1.42
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	24	1569	277	27255	1.51
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1609	277	27255	1.53
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1655	277	27255	1.49
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	25	1696	277	27255	1.45
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	26	1731	277	27255	1.48
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	26	1770	277	27255	1.45
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	27	1802	277	27255	1.47
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	27	1834	277	27255	1.45
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	1861	277	27255	1.48
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	1892	277	27255	1.46
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	1918	277	27255	1.44
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	28	1952	277	27255	1.41
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	29	1975	277	27255	1.44
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	29	2012	277	27255	1.42
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	pancreas_scRNA-seq	T2Dbmiadj	29	2052	277	27255	1.39
