distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	6	119	277	27255	4.96
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	8	189	277	27255	4.16
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	244	277	27255	3.63
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	292	277	27255	3.71
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	341	277	27255	3.46
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	408	277	27255	3.14
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	453	277	27255	3.26
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	487	277	27255	3.03
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	535	277	27255	2.76
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	16	576	277	27255	2.73
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	622	277	27255	2.85
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	661	277	27255	2.68
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	706	277	27255	2.51
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	739	277	27255	2.4
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	772	277	27255	2.29
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	813	277	27255	2.18
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	842	277	27255	2.1
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	882	277	27255	2.01
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	18	909	277	27255	1.95
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	948	277	27255	1.97
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	978	277	27255	1.91
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	19	1017	277	27255	1.84
