distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	3	63	277	27255	4.69
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	4	95	277	27255	4.14
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	4	118	277	27255	3.34
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	5	139	277	27255	3.54
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	7	165	277	27255	4.17
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	8	197	277	27255	4
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	229	277	27255	3.87
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	242	277	27255	3.66
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	265	277	27255	3.34
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	9	290	277	27255	3.05
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	10	313	277	27255	3.14
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	10	335	277	27255	2.94
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	354	277	27255	3.06
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	372	277	27255	2.91
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	398	277	27255	2.72
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	421	277	27255	2.57
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	441	277	27255	2.45
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	11	465	277	27255	2.33
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	487	277	27255	2.42
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	507	277	27255	2.33
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	528	277	27255	2.24
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	550	277	27255	2.15
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	573	277	27255	2.06
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	600	277	27255	1.97
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	622	277	27255	1.9
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	642	277	27255	1.84
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	665	277	27255	1.78
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	695	277	27255	1.7
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	719	277	27255	1.64
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	747	277	27255	1.58
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	764	277	27255	1.55
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	783	277	27255	1.51
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	802	277	27255	1.47
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	823	277	27255	1.43
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	12	839	277	27255	1.41
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	856	277	27255	1.49
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	878	277	27255	1.46
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	902	277	27255	1.42
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	13	927	277	27255	1.38
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	949	277	27255	1.45
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	972	277	27255	1.42
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	995	277	27255	1.38
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	1015	277	27255	1.36
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	1033	277	27255	1.33
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	1054	277	27255	1.31
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	1071	277	27255	1.29
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	14	1090	277	27255	1.26
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	1105	277	27255	1.34
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	1133	277	27255	1.3
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	pancreas_scRNA-seq	T2Dbmiadj	15	1155	277	27255	1.28
