distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	21	319	320	27255	5.61
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	22	398	320	27255	4.71
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	24	458	320	27255	4.46
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	25	508	320	27255	4.19
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	25	552	320	27255	3.86
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	26	619	320	27255	3.58
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	26	662	320	27255	3.35
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	26	708	320	27255	3.13
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	26	741	320	27255	2.99
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	29	792	320	27255	3.12
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	29	828	320	27255	2.98
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	30	869	320	27255	2.94
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	31	920	320	27255	2.87
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	31	965	320	27255	2.74
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	31	1007	320	27255	2.62
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1054	320	27255	2.59
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1093	320	27255	2.49
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1145	320	27255	2.38
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1182	320	27255	2.31
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1226	320	27255	2.22
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1271	320	27255	2.14
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1311	320	27255	2.08
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	32	1362	320	27255	2
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	33	1403	320	27255	2
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	34	1434	320	27255	2.02
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	34	1475	320	27255	1.96
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	34	1513	320	27255	1.91
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	35	1568	320	27255	1.9
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	36	1605	320	27255	1.91
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	37	1644	320	27255	1.92
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	37	1678	320	27255	1.88
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	37	1724	320	27255	1.83
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	37	1767	320	27255	1.78
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	37	1810	320	27255	1.74
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	38	1846	320	27255	1.75
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	39	1884	320	27255	1.76
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	39	1928	320	27255	1.72
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	39	1969	320	27255	1.69
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	40	2010	320	27255	1.69
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	41	2040	320	27255	1.71
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	41	2083	320	27255	1.68
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	42	2130	320	27255	1.68
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	43	2172	320	27255	1.69
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	43	2206	320	27255	1.66
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	43	2230	320	27255	1.64
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	44	2265	320	27255	1.65
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	44	2297	320	27255	1.63
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	44	2332	320	27255	1.61
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	44	2365	320	27255	1.58
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	45	2411	320	27255	1.59
