distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	13	127	320	27255	8.72
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	16	203	320	27255	6.71
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	17	253	320	27255	5.72
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	20	305	320	27255	5.59
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	21	355	320	27255	5.04
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	22	421	320	27255	4.45
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	24	466	320	27255	4.39
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	24	507	320	27255	4.03
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	24	553	320	27255	3.7
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	25	598	320	27255	3.56
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	27	643	320	27255	3.58
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	27	683	320	27255	3.37
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	27	725	320	27255	3.17
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	27	759	320	27255	3.03
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	28	794	320	27255	3
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	t2d_all_pc	T2Dbmiadj	28	836	320	27255	2.85
