distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	12	119	320	27255	8.59
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	15	189	320	27255	6.76
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	244	320	27255	5.93
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	20	292	320	27255	5.83
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	21	341	320	27255	5.25
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	22	408	320	27255	4.59
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	24	453	320	27255	4.51
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	24	487	320	27255	4.2
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	24	535	320	27255	3.82
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	25	576	320	27255	3.7
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	622	320	27255	3.7
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	661	320	27255	3.48
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	706	320	27255	3.26
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	739	320	27255	3.11
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	772	320	27255	2.98
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	813	320	27255	2.83
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	842	320	27255	2.73
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	27	882	320	27255	2.61
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	28	909	320	27255	2.62
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	29	948	320	27255	2.61
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	29	978	320	27255	2.53
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	29	1017	320	27255	2.43
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	29	1047	320	27255	2.36
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	30	1094	320	27255	2.34
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	31	1127	320	27255	2.34
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	31	1163	320	27255	2.27
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	31	1202	320	27255	2.2
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	31	1244	320	27255	2.12
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	31	1284	320	27255	2.06
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	33	1327	320	27255	2.12
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	33	1360	320	27255	2.07
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	t2d_all_pc	T2Dbmiadj	33	1393	320	27255	2.02
