distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	7	63	320	27255	9.46
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	8	95	320	27255	7.17
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	9	118	320	27255	6.5
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	10	139	320	27255	6.13
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	12	165	320	27255	6.19
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	13	197	320	27255	5.62
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	15	229	320	27255	5.58
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	15	242	320	27255	5.28
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	15	265	320	27255	4.82
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	15	290	320	27255	4.41
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	16	313	320	27255	4.35
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	16	335	320	27255	4.07
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	354	320	27255	4.09
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	372	320	27255	3.89
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	398	320	27255	3.64
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	421	320	27255	3.44
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	441	320	27255	3.28
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	17	465	320	27255	3.11
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	t2d_all_pc	T2Dbmiadj	18	487	320	27255	3.15
