distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	73	892	800	27255	2.79
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	82	1063	800	27255	2.63
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	87	1191	800	27255	2.49
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	88	1272	800	27255	2.36
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	89	1363	800	27255	2.22
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	94	1453	800	27255	2.2
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	97	1548	800	27255	2.13
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	97	1634	800	27255	2.02
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	100	1720	800	27255	1.98
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	103	1805	800	27255	1.94
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	103	1886	800	27255	1.86
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	104	1945	800	27255	1.82
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	108	2023	800	27255	1.82
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	109	2091	800	27255	1.78
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	111	2164	800	27255	1.75
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	114	2241	800	27255	1.73
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	115	2322	800	27255	1.69
