distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	31	252	800	27255	4.19
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	48	410	800	27255	3.99
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	58	547	800	27255	3.61
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	64	664	800	27255	3.28
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	69	783	800	27255	3
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	74	891	800	27255	2.83
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	77	980	800	27255	2.68
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	81	1080	800	27255	2.56
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	83	1177	800	27255	2.4
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	86	1255	800	27255	2.33
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	86	1333	800	27255	2.2
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	87	1414	800	27255	2.1
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	87	1488	800	27255	1.99
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	90	1560	800	27255	1.97
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	93	1641	800	27255	1.93
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	94	1707	800	27255	1.88
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	94	1783	800	27255	1.8
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	98	1862	800	27255	1.79
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	TG_expression	TRIGLYCERIDES	98	1929	800	27255	1.73
