distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	28	212	800	27255	4.5
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	42	342	800	27255	4.18
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	52	466	800	27255	3.8
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	58	563	800	27255	3.51
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	61	670	800	27255	3.1
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	66	763	800	27255	2.95
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	70	846	800	27255	2.82
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	77	930	800	27255	2.82
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	78	1014	800	27255	2.62
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	79	1075	800	27255	2.5
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	79	1151	800	27255	2.34
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	80	1229	800	27255	2.22
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	80	1297	800	27255	2.1
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	81	1353	800	27255	2.04
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	83	1418	800	27255	1.99
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	86	1489	800	27255	1.97
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	86	1562	800	27255	1.88
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	90	1632	800	27255	1.88
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	91	1688	800	27255	1.84
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	92	1747	800	27255	1.79
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	93	1818	800	27255	1.74
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	95	1884	800	27255	1.72
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	97	1952	800	27255	1.69
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	97	2014	800	27255	1.64
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	99	2078	800	27255	1.62
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	100	2136	800	27255	1.59
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	100	2205	800	27255	1.55
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	103	2285	800	27255	1.54
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	107	2350	800	27255	1.55
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	TG_expression	TRIGLYCERIDES	109	2407	800	27255	1.54
