distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	3	58	800	27255	1.76
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	7	89	800	27255	2.68
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	13	117	800	27255	3.79
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	15	147	800	27255	3.48
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	18	177	800	27255	3.46
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	19	207	800	27255	3.13
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	19	229	800	27255	2.83
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	21	251	800	27255	2.85
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	22	276	800	27255	2.72
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	22	292	800	27255	2.57
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	23	319	800	27255	2.46
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	23	346	800	27255	2.26
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	23	372	800	27255	2.11
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	23	388	800	27255	2.02
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	24	416	800	27255	1.97
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	25	443	800	27255	1.92
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	26	470	800	27255	1.88
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	28	491	800	27255	1.94
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	29	512	800	27255	1.93
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	30	536	800	27255	1.91
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	30	562	800	27255	1.82
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	32	586	800	27255	1.86
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	32	624	800	27255	1.75
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	32	640	800	27255	1.7
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	TG_expression	TRIGLYCERIDES	33	664	800	27255	1.69
