distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	8	892	23	27255	10.63
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	8	1063	23	27255	8.92
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1191	23	27255	9.95
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1272	23	27255	9.32
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1363	23	27255	8.69
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1453	23	27255	8.16
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1548	23	27255	7.66
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	1634	23	27255	7.98
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	1720	23	27255	7.58
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	1805	23	27255	7.22
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	1886	23	27255	6.91
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	1945	23	27255	6.7
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2023	23	27255	6.44
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2091	23	27255	6.23
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2164	23	27255	6.02
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2241	23	27255	5.82
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2322	23	27255	5.61
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2394	23	27255	5.44
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2476	23	27255	5.26
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2533	23	27255	5.15
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2604	23	27255	5.01
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2671	23	27255	4.88
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2724	23	27255	4.79
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2783	23	27255	4.68
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2846	23	27255	4.58
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2921	23	27255	4.46
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	2992	23	27255	4.36
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	3054	23	27255	4.27
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	11	3114	23	27255	4.19
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3188	23	27255	4.46
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3253	23	27255	4.37
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3312	23	27255	4.29
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3379	23	27255	4.21
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3434	23	27255	4.14
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3494	23	27255	4.07
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3545	23	27255	4.01
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3609	23	27255	3.94
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3666	23	27255	3.88
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3721	23	27255	3.82
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3790	23	27255	3.75
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3850	23	27255	3.69
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3917	23	27255	3.63
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	3975	23	27255	3.58
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	4025	23	27255	3.53
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	4064	23	27255	3.5
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	4108	23	27255	3.46
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	4161	23	27255	3.42
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	12	4219	23	27255	3.37
