distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	5	252	23	27255	23.51
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	8	410	23	27255	23.12
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	9	547	23	27255	19.5
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	9	664	23	27255	16.06
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	9	783	23	27255	13.62
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	9	891	23	27255	11.97
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	9	980	23	27255	10.88
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1080	23	27255	10.97
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1177	23	27255	10.07
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1255	23	27255	9.44
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1333	23	27255	8.89
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1414	23	27255	8.38
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1488	23	27255	7.96
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1560	23	27255	7.6
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1641	23	27255	7.22
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1707	23	27255	6.94
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1783	23	27255	6.65
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1862	23	27255	6.36
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1929	23	27255	6.14
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1998	23	27255	5.93
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2063	23	27255	5.74
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2132	23	27255	5.56
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2194	23	27255	5.4
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2263	23	27255	5.24
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2325	23	27255	5.1
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2381	23	27255	4.98
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2448	23	27255	4.84
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2517	23	27255	4.71
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2588	23	27255	4.58
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2650	23	27255	4.47
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2710	23	27255	4.37
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2769	23	27255	4.28
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2824	23	27255	4.2
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2880	23	27255	4.11
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2938	23	27255	4.03
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2990	23	27255	3.96
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3050	23	27255	3.89
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3100	23	27255	3.82
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3151	23	27255	3.76
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3213	23	27255	3.69
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3268	23	27255	3.63
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3326	23	27255	3.56
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3372	23	27255	3.51
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3407	23	27255	3.48
