distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	4	212	23	27255	22.36
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	7	342	23	27255	24.25
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	8	466	23	27255	20.34
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	8	563	23	27255	16.84
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	8	670	23	27255	14.15
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	8	763	23	27255	12.42
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	8	846	23	27255	11.21
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	9	930	23	27255	11.47
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	9	1014	23	27255	10.52
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	9	1075	23	27255	9.92
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1151	23	27255	10.3
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1229	23	27255	9.64
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1297	23	27255	9.14
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1353	23	27255	8.76
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1418	23	27255	8.36
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1489	23	27255	7.96
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1562	23	27255	7.59
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1632	23	27255	7.26
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1688	23	27255	7.02
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1747	23	27255	6.78
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1818	23	27255	6.52
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1884	23	27255	6.29
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	1952	23	27255	6.07
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2014	23	27255	5.88
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2078	23	27255	5.7
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2136	23	27255	5.55
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2205	23	27255	5.37
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2285	23	27255	5.19
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2350	23	27255	5.04
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2407	23	27255	4.92
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2467	23	27255	4.8
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2529	23	27255	4.69
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2589	23	27255	4.58
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2646	23	27255	4.48
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2699	23	27255	4.39
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2747	23	27255	4.31
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2803	23	27255	4.23
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2860	23	27255	4.14
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2914	23	27255	4.07
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	2967	23	27255	3.99
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3027	23	27255	3.91
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3088	23	27255	3.84
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	10	3142	23	27255	3.77
