distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	1	58	23	27255	20.43
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	2	89	23	27255	26.63
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	2	117	23	27255	20.26
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	2	147	23	27255	16.12
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	3	177	23	27255	20.08
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	3	207	23	27255	17.17
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	3	229	23	27255	15.52
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	3	251	23	27255	14.16
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	4	276	23	27255	17.17
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	4	292	23	27255	16.23
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	5	319	23	27255	18.57
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	5	346	23	27255	17.12
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg-disease-drug	TRIGLYCERIDES	5	372	23	27255	15.93
