distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	75	892	812	27255	2.82
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	84	1063	812	27255	2.65
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	91	1191	812	27255	2.56
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	92	1272	812	27255	2.43
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	93	1363	812	27255	2.29
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	98	1453	812	27255	2.26
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	101	1548	812	27255	2.19
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	102	1634	812	27255	2.1
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	105	1720	812	27255	2.05
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	108	1805	812	27255	2.01
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	108	1886	812	27255	1.92
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	109	1945	812	27255	1.88
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	113	2023	812	27255	1.87
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	114	2091	812	27255	1.83
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	116	2164	812	27255	1.8
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	119	2241	812	27255	1.78
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	120	2322	812	27255	1.73
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	121	2394	812	27255	1.7
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	122	2476	812	27255	1.65
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	125	2533	812	27255	1.66
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	128	2604	812	27255	1.65
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	129	2671	812	27255	1.62
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	129	2724	812	27255	1.59
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	130	2783	812	27255	1.57
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	132	2846	812	27255	1.56
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	133	2921	812	27255	1.53
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	133	2992	812	27255	1.49
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	134	3054	812	27255	1.47
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	138	3114	812	27255	1.49
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	142	3188	812	27255	1.5
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	144	3253	812	27255	1.49
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	146	3312	812	27255	1.48
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	148	3379	812	27255	1.47
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	150	3434	812	27255	1.47
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	151	3494	812	27255	1.45
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	153	3545	812	27255	1.45
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	157	3609	812	27255	1.46
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	158	3666	812	27255	1.45
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	160	3721	812	27255	1.44
