distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	33	252	812	27255	4.4
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	50	410	812	27255	4.09
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	61	547	812	27255	3.74
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	67	664	812	27255	3.39
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	72	783	812	27255	3.09
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	77	891	812	27255	2.9
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	80	980	812	27255	2.74
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	85	1080	812	27255	2.64
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	87	1177	812	27255	2.48
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	90	1255	812	27255	2.41
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	90	1333	812	27255	2.27
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	91	1414	812	27255	2.16
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	91	1488	812	27255	2.05
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	94	1560	812	27255	2.02
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	97	1641	812	27255	1.98
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	98	1707	812	27255	1.93
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	98	1783	812	27255	1.84
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	102	1862	812	27255	1.84
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	102	1929	812	27255	1.77
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	104	1998	812	27255	1.75
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	105	2063	812	27255	1.71
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	107	2132	812	27255	1.68
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	109	2194	812	27255	1.67
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	109	2263	812	27255	1.62
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	112	2325	812	27255	1.62
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	114	2381	812	27255	1.61
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	114	2448	812	27255	1.56
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	117	2517	812	27255	1.56
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	120	2588	812	27255	1.56
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	122	2650	812	27255	1.55
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	122	2710	812	27255	1.51
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	125	2769	812	27255	1.52
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	127	2824	812	27255	1.51
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	128	2880	812	27255	1.49
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	129	2938	812	27255	1.47
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	132	2990	812	27255	1.48
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	134	3050	812	27255	1.47
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	136	3100	812	27255	1.47
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	137	3151	812	27255	1.46
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	140	3213	812	27255	1.46
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	142	3268	812	27255	1.46
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	146	3326	812	27255	1.47
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	150	3372	812	27255	1.49
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	151	3407	812	27255	1.49
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	154	3457	812	27255	1.5
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	155	3512	812	27255	1.48
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	158	3555	812	27255	1.49
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	162	3603	812	27255	1.51
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	165	3645	812	27255	1.52
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	tg_all_pc	TRIGLYCERIDES	168	3689	812	27255	1.53
