distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	29	212	812	27255	4.59
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	44	342	812	27255	4.32
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	55	466	812	27255	3.96
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	61	563	812	27255	3.64
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	64	670	812	27255	3.21
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	69	763	812	27255	3.04
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	73	846	812	27255	2.9
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	80	930	812	27255	2.89
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	81	1014	812	27255	2.68
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	82	1075	812	27255	2.56
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	83	1151	812	27255	2.42
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	84	1229	812	27255	2.29
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	84	1297	812	27255	2.17
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	85	1353	812	27255	2.11
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	87	1418	812	27255	2.06
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	90	1489	812	27255	2.03
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	90	1562	812	27255	1.93
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	94	1632	812	27255	1.93
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	95	1688	812	27255	1.89
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	96	1747	812	27255	1.84
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	tg_all_pc	TRIGLYCERIDES	97	1818	812	27255	1.79
