distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	3	58	812	27255	1.74
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	7	89	812	27255	2.64
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	13	117	812	27255	3.73
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	15	147	812	27255	3.43
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	19	177	812	27255	3.6
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	20	207	812	27255	3.24
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	20	229	812	27255	2.93
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	22	251	812	27255	2.94
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	23	276	812	27255	2.8
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	23	292	812	27255	2.64
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	25	319	812	27255	2.63
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	25	346	812	27255	2.43
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	25	372	812	27255	2.26
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	25	388	812	27255	2.16
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	26	416	812	27255	2.1
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	27	443	812	27255	2.05
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	28	470	812	27255	2
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	30	491	812	27255	2.05
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	31	512	812	27255	2.03
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	32	536	812	27255	2
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	32	562	812	27255	1.91
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	34	586	812	27255	1.95
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	34	624	812	27255	1.83
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	34	640	812	27255	1.78
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	tg_all_pc	TRIGLYCERIDES	35	664	812	27255	1.77
