distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	222	3010	1240	27255	1.62
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	255	3596	1240	27255	1.56
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	276	3983	1240	27255	1.52
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	291	4297	1240	27255	1.49
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	304	4592	1240	27255	1.46
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	322	4835	1240	27255	1.46
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	340	5088	1240	27255	1.47
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	350	5295	1240	27255	1.45
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	364	5516	1240	27255	1.45
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	377	5749	1240	27255	1.44
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	391	5937	1240	27255	1.45
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	399	6132	1240	27255	1.43
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	409	6319	1240	27255	1.42
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	419	6472	1240	27255	1.42
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	428	6665	1240	27255	1.41
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	437	6832	1240	27255	1.41
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	447	6998	1240	27255	1.4
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	457	7210	1240	27255	1.39
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	464	7374	1240	27255	1.38
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	469	7549	1240	27255	1.37
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	478	7718	1240	27255	1.36
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	488	7865	1240	27255	1.36
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	490	8031	1240	27255	1.34
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	498	8175	1240	27255	1.34
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	504	8331	1240	27255	1.33
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	509	8503	1240	27255	1.32
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	516	8636	1240	27255	1.31
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	519	8784	1240	27255	1.3
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	528	8921	1240	27255	1.3
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	535	9063	1240	27255	1.3
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	541	9205	1240	27255	1.29
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	550	9343	1240	27255	1.29
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	554	9495	1240	27255	1.28
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	560	9632	1240	27255	1.28
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	566	9784	1240	27255	1.27
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	576	9913	1240	27255	1.28
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	578	10044	1240	27255	1.26
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	586	10181	1240	27255	1.27
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	586	10304	1240	27255	1.25
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	589	10432	1240	27255	1.24
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	597	10547	1240	27255	1.24
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	601	10666	1240	27255	1.24
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	608	10806	1240	27255	1.24
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	611	10926	1240	27255	1.23
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	614	11046	1240	27255	1.22
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	616	11153	1240	27255	1.21
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	619	11270	1240	27255	1.21
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	624	11380	1240	27255	1.21
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	626	11480	1240	27255	1.2
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	Osteocyte_signature	eBMD	632	11610	1240	27255	1.2
