distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	84	809	1240	27255	2.28
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	115	1298	1240	27255	1.95
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	154	1758	1240	27255	1.93
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	181	2133	1240	27255	1.87
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	198	2485	1240	27255	1.75
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	210	2812	1240	27255	1.64
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	231	3150	1240	27255	1.61
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	245	3432	1240	27255	1.57
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	260	3684	1240	27255	1.55
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	271	3923	1240	27255	1.52
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	283	4173	1240	27255	1.49
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	295	4404	1240	27255	1.47
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	311	4649	1240	27255	1.47
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	324	4859	1240	27255	1.47
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	337	5084	1240	27255	1.46
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	350	5292	1240	27255	1.45
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	358	5479	1240	27255	1.44
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	368	5684	1240	27255	1.42
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	375	5878	1240	27255	1.4
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	382	6047	1240	27255	1.39
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	393	6230	1240	27255	1.39
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	397	6398	1240	27255	1.36
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	401	6527	1240	27255	1.35
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	410	6694	1240	27255	1.35
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	427	6855	1240	27255	1.37
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	436	7010	1240	27255	1.37
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	441	7164	1240	27255	1.35
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	446	7309	1240	27255	1.34
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	454	7471	1240	27255	1.34
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	457	7607	1240	27255	1.32
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	461	7743	1240	27255	1.31
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	470	7873	1240	27255	1.31
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	472	8022	1240	27255	1.29
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	481	8138	1240	27255	1.3
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	492	8286	1240	27255	1.31
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	498	8419	1240	27255	1.3
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	Osteocyte_signature	eBMD	505	8541	1240	27255	1.3
