distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	79	714	1240	27255	2.43
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	109	1162	1240	27255	2.06
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	144	1569	1240	27255	2.02
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	169	1922	1240	27255	1.93
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	186	2246	1240	27255	1.82
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	198	2538	1240	27255	1.71
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	215	2841	1240	27255	1.66
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	227	3101	1240	27255	1.61
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	244	3335	1240	27255	1.61
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	255	3566	1240	27255	1.57
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	267	3799	1240	27255	1.54
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	281	3999	1240	27255	1.54
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	297	4228	1240	27255	1.54
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	310	4430	1240	27255	1.54
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	323	4642	1240	27255	1.53
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	333	4844	1240	27255	1.51
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	340	5017	1240	27255	1.49
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	349	5219	1240	27255	1.47
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	356	5410	1240	27255	1.45
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	365	5577	1240	27255	1.44
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	375	5740	1240	27255	1.44
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	381	5902	1240	27255	1.42
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	386	6039	1240	27255	1.4
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	396	6204	1240	27255	1.4
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	411	6366	1240	27255	1.42
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	420	6506	1240	27255	1.42
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	424	6672	1240	27255	1.4
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	429	6820	1240	27255	1.38
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	437	6981	1240	27255	1.38
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	443	7115	1240	27255	1.37
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	447	7252	1240	27255	1.35
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	454	7377	1240	27255	1.35
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	456	7528	1240	27255	1.33
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	465	7653	1240	27255	1.34
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	473	7782	1240	27255	1.34
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	478	7914	1240	27255	1.33
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	484	8034	1240	27255	1.32
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	488	8169	1240	27255	1.31
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	495	8313	1240	27255	1.31
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	500	8435	1240	27255	1.3
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	505	8557	1240	27255	1.3
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	511	8681	1240	27255	1.29
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	515	8802	1240	27255	1.29
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	522	8930	1240	27255	1.28
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	530	9045	1240	27255	1.29
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	538	9170	1240	27255	1.29
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	543	9268	1240	27255	1.29
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	547	9376	1240	27255	1.28
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	550	9478	1240	27255	1.28
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Osteocyte_signature	eBMD	553	9599	1240	27255	1.27
