distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	5	88	1240	27255	1.25
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	15	140	1240	27255	2.35
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	16	188	1240	27255	1.87
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	18	241	1240	27255	1.64
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	20	293	1240	27255	1.5
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	20	347	1240	27255	1.27
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	25	393	1240	27255	1.4
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	28	430	1240	27255	1.43
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	29	473	1240	27255	1.35
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	32	516	1240	27255	1.36
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	34	573	1240	27255	1.3
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	38	619	1240	27255	1.35
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	40	656	1240	27255	1.34
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	44	708	1240	27255	1.37
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	49	755	1240	27255	1.43
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	51	799	1240	27255	1.4
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	51	837	1240	27255	1.34
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	52	870	1240	27255	1.31
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	54	911	1240	27255	1.3
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	56	958	1240	27255	1.28
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	60	1009	1240	27255	1.31
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	60	1052	1240	27255	1.25
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	62	1092	1240	27255	1.25
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	65	1123	1240	27255	1.27
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	65	1164	1240	27255	1.23
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	67	1200	1240	27255	1.23
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	70	1246	1240	27255	1.23
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	73	1296	1240	27255	1.24
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	74	1347	1240	27255	1.21
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	76	1386	1240	27255	1.21
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	77	1430	1240	27255	1.18
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	79	1480	1240	27255	1.17
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	79	1522	1240	27255	1.14
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	85	1573	1240	27255	1.19
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	85	1616	1240	27255	1.16
