distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	21	3010	61	27255	3.12
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	22	3596	61	27255	2.73
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	24	3983	61	27255	2.69
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	26	4297	61	27255	2.7
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	28	4592	61	27255	2.72
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	31	4835	61	27255	2.86
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	33	5088	61	27255	2.9
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	35	5295	61	27255	2.95
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	5516	61	27255	2.92
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	5749	61	27255	2.8
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	5937	61	27255	2.71
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6132	61	27255	2.62
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6319	61	27255	2.55
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6472	61	27255	2.49
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6665	61	27255	2.41
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	6832	61	27255	2.42
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	6998	61	27255	2.36
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7210	61	27255	2.29
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7374	61	27255	2.24
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7549	61	27255	2.19
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7718	61	27255	2.14
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7865	61	27255	2.1
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	8031	61	27255	2.06
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	8175	61	27255	2.02
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	8331	61	27255	1.98
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	8503	61	27255	1.94
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8636	61	27255	1.97
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8784	61	27255	1.93
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8921	61	27255	1.9
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	9063	61	27255	1.87
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	9205	61	27255	1.84
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9343	61	27255	1.87
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9495	61	27255	1.84
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9632	61	27255	1.81
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9784	61	27255	1.78
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9913	61	27255	1.76
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	10044	61	27255	1.73
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	10181	61	27255	1.71
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	10304	61	27255	1.69
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	10432	61	27255	1.67
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	40	10547	61	27255	1.69
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	40	10666	61	27255	1.68
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	41	10806	61	27255	1.7
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	41	10926	61	27255	1.68
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11046	61	27255	1.7
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11153	61	27255	1.68
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11270	61	27255	1.67
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11380	61	27255	1.65
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11480	61	27255	1.63
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	42	11610	61	27255	1.62
