distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	12	809	61	27255	6.63
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	14	1298	61	27255	4.82
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	17	1758	61	27255	4.32
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	19	2133	61	27255	3.98
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	21	2485	61	27255	3.78
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	21	2812	61	27255	3.34
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	23	3150	61	27255	3.26
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	23	3432	61	27255	2.99
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	25	3684	61	27255	3.03
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	29	3923	61	27255	3.3
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	30	4173	61	27255	3.21
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	31	4404	61	27255	3.15
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	32	4649	61	27255	3.08
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	32	4859	61	27255	2.94
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	5084	61	27255	2.99
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	5292	61	27255	2.87
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	5479	61	27255	2.77
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	35	5684	61	27255	2.75
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	35	5878	61	27255	2.66
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6047	61	27255	2.66
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6230	61	27255	2.58
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6398	61	27255	2.51
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6527	61	27255	2.46
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6694	61	27255	2.4
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6855	61	27255	2.35
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	7010	61	27255	2.36
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7164	61	27255	2.37
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7309	61	27255	2.32
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7471	61	27255	2.27
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7607	61	27255	2.23
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7743	61	27255	2.19
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7873	61	27255	2.16
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8022	61	27255	2.12
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8138	61	27255	2.09
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8286	61	27255	2.05
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8419	61	27255	2.02
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8541	61	27255	1.99
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8671	61	27255	1.96
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	8817	61	27255	1.98
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	8947	61	27255	1.95
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	39	9078	61	27255	1.92
