distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	12	714	61	27255	7.51
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	14	1162	61	27255	5.38
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	17	1569	61	27255	4.84
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	19	1922	61	27255	4.42
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	21	2246	61	27255	4.18
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	21	2538	61	27255	3.7
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	22	2841	61	27255	3.46
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	23	3101	61	27255	3.31
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	25	3335	61	27255	3.35
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	28	3566	61	27255	3.51
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	29	3799	61	27255	3.41
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	30	3999	61	27255	3.35
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	31	4228	61	27255	3.28
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	31	4430	61	27255	3.13
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	32	4642	61	27255	3.08
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	32	4844	61	27255	2.95
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	32	5017	61	27255	2.85
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	32	5219	61	27255	2.74
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	32	5410	61	27255	2.64
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	5577	61	27255	2.72
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	5740	61	27255	2.65
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	5902	61	27255	2.57
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	6039	61	27255	2.52
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	6204	61	27255	2.45
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	34	6366	61	27255	2.39
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	35	6506	61	27255	2.4
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	6672	61	27255	2.41
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	6820	61	27255	2.36
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	6981	61	27255	2.3
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7115	61	27255	2.26
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7252	61	27255	2.22
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7377	61	27255	2.18
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7528	61	27255	2.14
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7653	61	27255	2.1
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7782	61	27255	2.07
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	7914	61	27255	2.03
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	8034	61	27255	2
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	36	8169	61	27255	1.97
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	37	8313	61	27255	1.99
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	37	8435	61	27255	1.96
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	37	8557	61	27255	1.93
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	37	8681	61	27255	1.9
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	37	8802	61	27255	1.88
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	38	8930	61	27255	1.9
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	38	9045	61	27255	1.88
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	38	9170	61	27255	1.85
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ebmd-disease-drug	eBMD	38	9268	61	27255	1.83
