distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	0	88	61	27255	0
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	5	140	61	27255	15.96
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	5	188	61	27255	11.88
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	5	241	61	27255	9.27
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	5	293	61	27255	7.62
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	5	347	61	27255	6.44
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	6	393	61	27255	6.82
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	6	430	61	27255	6.23
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	6	473	61	27255	5.67
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	7	516	61	27255	6.06
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	7	573	61	27255	5.46
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	7	619	61	27255	5.05
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	7	656	61	27255	4.77
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	7	708	61	27255	4.42
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	8	755	61	27255	4.73
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	8	799	61	27255	4.47
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	8	837	61	27255	4.27
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	8	870	61	27255	4.11
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	8	911	61	27255	3.92
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	958	61	27255	4.2
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1009	61	27255	3.99
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1052	61	27255	3.82
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1092	61	27255	3.68
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1123	61	27255	3.58
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1164	61	27255	3.45
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1200	61	27255	3.35
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	9	1246	61	27255	3.23
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	10	1296	61	27255	3.45
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	10	1347	61	27255	3.32
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1386	61	27255	3.55
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1430	61	27255	3.44
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1480	61	27255	3.32
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1522	61	27255	3.23
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1573	61	27255	3.12
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1616	61	27255	3.04
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1649	61	27255	2.98
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1688	61	27255	2.91
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1724	61	27255	2.85
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1756	61	27255	2.8
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1800	61	27255	2.73
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1832	61	27255	2.68
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1859	61	27255	2.64
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1894	61	27255	2.59
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1946	61	27255	2.53
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	1989	61	27255	2.47
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	2028	61	27255	2.42
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	2065	61	27255	2.38
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	2104	61	27255	2.34
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	2150	61	27255	2.29
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ebmd-disease-drug	eBMD	11	2188	61	27255	2.25
